layer	file	line	source
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	23	            let direction = if self.eat_keyword(Keyword::Desc) {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	31	            if !self.eat_comma() {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	41	        if !self.peek_lparen() {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	51	        match function {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	57	                Ok(match function {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	97	        if self.peek_keyword(Keyword::Or) || self.peek_keyword(Keyword::Not) {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	118	        if self.eat_keyword(Keyword::Is) {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	124	                op: if is_not { CompareOp::Ne } else { CompareOp::Eq },
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	136	        if let Some(kind) = self.parse_aggregate_kind() {
parser	crates/icydb-core/src/db/sql/parser/clauses.rs	141	        if self.peek_lparen() {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	59	    match symbol {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	92	    if let Some(last) = identifier_last_segment(sql_entity) {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	95	    if let Some(last) = identifier_last_segment(expected_entity) {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	106	    match projection {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	111	                .map(|item| match item {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	155	            let field = match resolve_projection_order_alias(
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	188	        if !alias.eq_ignore_ascii_case(order_target) {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	205	    match item {
lowering	crates/icydb-core/src/db/sql/lowering/normalize.rs	283	    if identifiers_tail_match(sql_entity, expected_entity) {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	110	    let (projection_selection, grouped_projection_aggregates, normalized_distinct) = if has_grouping
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	163	    if has_aggregate {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	167	    if let Some(field_ids) = direct_scalar_field_selection(items.as_slice(), projection_aliases) {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	182	    if distinct && fields.is_empty() {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	203	        match &item {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	205	                if seen_aggregate {
lowering	crates/icydb-core/src/db/sql/lowering/select.rs	225	    if !seen_aggregate || projected_group_fields.as_slice() != group_by {
