 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        1125250 ┊     34.23% ┊ export "canister_query query_one_entity_sql"
        1125211 ┊     34.23% ┊   ⤷ code[8246]
        1125202 ┊     34.23% ┊       ⤷ code[2365]
        1101334 ┊     33.50% ┊           ⤷ code[1594]
         149478 ┊      4.55% ┊               ⤷ code[1432]
         149295 ┊      4.54% ┊                   ⤷ code[1173]
          45385 ┊      1.38% ┊                       ⤷ code[1209]
          21116 ┊      0.64% ┊                           ⤷ code[1375]
            497 ┊      0.02% ┊                               ⤷ code[5299]
            430 ┊      0.01% ┊                               ⤷ code[5294]
            383 ┊      0.01% ┊                               ⤷ code[5300]
            115 ┊      0.00% ┊                               ⤷ code[5305]
            115 ┊      0.00% ┊                               ⤷ code[5306]
             79 ┊      0.00% ┊                               ⤷ code[5302]
             66 ┊      0.00% ┊                               ⤷ code[5303]
             44 ┊      0.00% ┊                               ⤷ code[5298]
             22 ┊      0.00% ┊                               ⤷ code[5304]
             14 ┊      0.00% ┊                               ⤷ code[5292]
             14 ┊      0.00% ┊                               ⤷ code[5301]
           4626 ┊      0.14% ┊                           ⤷ code[1356]
           3334 ┊      0.10% ┊                               ⤷ code[4462]
            309 ┊      0.01% ┊                                   ⤷ code[4463]
            161 ┊      0.00% ┊                               ⤷ code[4464]
             15 ┊      0.00% ┊                               ⤷ type[94]: (i32, i32, i64, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
           3825 ┊      0.12% ┊                           ⤷ code[1360]
           3692 ┊      0.11% ┊                               ⤷ code[6453]
           2261 ┊      0.07% ┊                                   ⤷ code[6455]
            384 ┊      0.01% ┊                                       ⤷ code[6457]
            231 ┊      0.01% ┊                                       ⤷ code[6458]
             29 ┊      0.00% ┊                                   ⤷ code[6456]
             20 ┊      0.00% ┊                                   ⤷ code[6454]
           2858 ┊      0.09% ┊                           ⤷ code[1370]
            488 ┊      0.01% ┊                               ⤷ code[7237]
            390 ┊      0.01% ┊                               ⤷ code[7234]
            151 ┊      0.00% ┊                               ⤷ code[7235]
             17 ┊      0.00% ┊                               ⤷ code[7236]
            261 ┊      0.01% ┊                           ⤷ code[1361]
            246 ┊      0.01% ┊                           ⤷ code[1369]
             16 ┊      0.00% ┊                               ⤷ type[95]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> i32
            220 ┊      0.01% ┊                           ⤷ code[1371]
            197 ┊      0.01% ┊                           ⤷ code[442]
             30 ┊      0.00% ┊                               ⤷ code[446]
            174 ┊      0.01% ┊                           ⤷ code[1359]
            128 ┊      0.00% ┊                           ⤷ code[5296]
             81 ┊      0.00% ┊                           ⤷ code[1364]
             75 ┊      0.00% ┊                           ⤷ code[1376]
             70 ┊      0.00% ┊                           ⤷ code[1378]
             66 ┊      0.00% ┊                           ⤷ code[298]
             59 ┊      0.00% ┊                           ⤷ code[443]
             49 ┊      0.00% ┊                           ⤷ code[1368]
             44 ┊      0.00% ┊                           ⤷ code[386]
             41 ┊      0.00% ┊                           ⤷ code[184]
             41 ┊      0.00% ┊                           ⤷ code[5291]
             33 ┊      0.00% ┊                           ⤷ code[308]
             33 ┊      0.00% ┊                           ⤷ code[1377]
             31 ┊      0.00% ┊                           ⤷ code[307]
             21 ┊      0.00% ┊                           ⤷ code[7239]
             18 ┊      0.00% ┊                           ⤷ code[7240]
             16 ┊      0.00% ┊                           ⤷ code[444]
             16 ┊      0.00% ┊                           ⤷ code[1365]
             15 ┊      0.00% ┊                           ⤷ code[5295]
             14 ┊      0.00% ┊                           ⤷ code[1363]
          20411 ┊      0.62% ┊                       ⤷ code[1292]
          18733 ┊      0.57% ┊                           ⤷ code[1435]
          16429 ┊      0.50% ┊                               ⤷ code[7060]
          14920 ┊      0.45% ┊                                   ⤷ code[7061]
           3774 ┊      0.11% ┊                                       ⤷ code[7080]
           3521 ┊      0.11% ┊                                           ⤷ code[7104]
             70 ┊      0.00% ┊                                               ⤷ code[7147]
             63 ┊      0.00% ┊                                               ⤷ code[7145]
             58 ┊      0.00% ┊                                               ⤷ code[7148]
           2447 ┊      0.07% ┊                                       ⤷ code[6524]
           2313 ┊      0.07% ┊                                           ⤷ code[6525]
           1006 ┊      0.03% ┊                                               ⤷ code[6528]
            157 ┊      0.00% ┊                                                   ⤷ code[6531]
             29 ┊      0.00% ┊                                               ⤷ code[6529]
             20 ┊      0.00% ┊                                               ⤷ code[6527]
           2178 ┊      0.07% ┊                                       ⤷ code[7082]
             72 ┊      0.00% ┊                                           ⤷ code[7114]
             14 ┊      0.00% ┊                                               ⤷ code[7139]
             24 ┊      0.00% ┊                                           ⤷ code[7115]
             18 ┊      0.00% ┊                                           ⤷ code[7116]
           1452 ┊      0.04% ┊                                       ⤷ code[7077]
            318 ┊      0.01% ┊                                           ⤷ code[6237]
            182 ┊      0.01% ┊                                       ⤷ code[6530]
             62 ┊      0.00% ┊                                       ⤷ code[6526]
             43 ┊      0.00% ┊                                       ⤷ code[4052]
             18 ┊      0.00% ┊                                       ⤷ code[6379]
             16 ┊      0.00% ┊                                       ⤷ code[6380]
             15 ┊      0.00% ┊                                       ⤷ code[7110]
            275 ┊      0.01% ┊                                   ⤷ code[7063]
            228 ┊      0.01% ┊                                   ⤷ code[7064]
             45 ┊      0.00% ┊                                   ⤷ code[7062]
            426 ┊      0.01% ┊                           ⤷ code[1433]
            292 ┊      0.01% ┊                               ⤷ code[7761]
            233 ┊      0.01% ┊                                   ⤷ code[7762]
            198 ┊      0.01% ┊                           ⤷ code[1434]
           4970 ┊      0.15% ┊                       ⤷ code[1180]
           3334 ┊      0.10% ┊                           ⤷ code[4467]
            309 ┊      0.01% ┊                               ⤷ code[4468]
            359 ┊      0.01% ┊                           ⤷ code[4469]
             18 ┊      0.00% ┊                           ⤷ type[93]: (i32, i32, i64, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
           4425 ┊      0.13% ┊                       ⤷ code[1215]
           2175 ┊      0.07% ┊                           ⤷ code[6468]
           2059 ┊      0.06% ┊                               ⤷ code[6469]
            982 ┊      0.03% ┊                                   ⤷ code[6471]
            151 ┊      0.00% ┊                                       ⤷ code[6474]
             27 ┊      0.00% ┊                                   ⤷ code[6472]
           2167 ┊      0.07% ┊                           ⤷ code[6476]
           2051 ┊      0.06% ┊                               ⤷ code[6477]
            982 ┊      0.03% ┊                                   ⤷ code[6478]
            151 ┊      0.00% ┊                                       ⤷ code[6480]
             27 ┊      0.00% ┊                                   ⤷ code[6479]
           3166 ┊      0.10% ┊                       ⤷ code[1318]
            288 ┊      0.01% ┊                           ⤷ code[5683]
           2496 ┊      0.08% ┊                       ⤷ code[1299]
           1230 ┊      0.04% ┊                           ⤷ code[7758]
            506 ┊      0.02% ┊                               ⤷ code[5615]
             62 ┊      0.00% ┊                           ⤷ code[7757]
           2462 ┊      0.07% ┊                       ⤷ code[1310]
           2175 ┊      0.07% ┊                       ⤷ code[1240]
           2059 ┊      0.06% ┊                           ⤷ code[6481]
            982 ┊      0.03% ┊                               ⤷ code[6483]
